Scene,Setup,Room
96,0,0,00D0,8001,2D Bombable Wall,,-1825,340,1189,0000,C000,0000
96,0,0,00D0,8002,2D Bombable Wall,,-540,1448,-81,0000,31C7,0000
96,0,0,00D0,8003,2D Bombable Wall,,-245,3305,-4480,0000,127D,0000
96,2,0,00D0,8001,2D Bombable Wall,,-1825,340,1189,0000,C000,0000
96,2,0,00D0,8002,2D Bombable Wall,,-540,1448,-81,0000,31C7,0000
96,2,0,00D0,8003,2D Bombable Wall,,-245,3305,-4480,0000,127D,0000
97,4,1,00D0,0000,2D Bombable Wall,,-1342,829,968,0000,527D,0000
97,4,1,00D0,0001,2D Bombable Wall,,1302,1476,1566,0000,8000,0000
97,5,1,00D0,0000,2D Bombable Wall,,-1342,829,968,0000,527D,0000
97,5,1,00D0,0001,2D Bombable Wall,,1302,1476,1566,0000,8000,0000
Total: 10
