Scene,Setup,Room
2,0,0,000E,FF00,Octorok,,-133,-330,-257,0000,0000,0000
2,0,0,000E,FF00,Octorok,,110,-330,-260,0000,0000,0000
2,4,0,000E,0000,Octorok,,0,-330,-250,0000,0000,0000
2,4,0,000E,0000,Octorok,,74,-330,-361,0000,0000,0000
2,0,1,000E,FF00,Octorok,,-118,-1248,-1700,0000,3BBC,0000
2,4,1,000E,0000,Octorok,,59,-1248,-1780,0000,A2D8,0000
2,4,1,000E,0000,Octorok,,-108,-1248,-1603,0000,80B6,0000
2,0,4,000E,FF00,Octorok,,-1223,-40,-1479,0000,80B6,0000
2,4,4,000E,0000,Octorok,,-1223,-40,-1479,0000,80B6,0000
2,4,12,000E,0000,Octorok,,-832,-340,-5861,0000,20B6,0000
2,4,12,000E,0000,Octorok,,-839,-340,-5503,0000,5F4A,0000
2,4,12,000E,0000,Octorok,,-476,-340,-5499,0000,A000,0000
2,4,12,000E,0000,Octorok,,-481,-340,-5860,0000,DD28,0000
2,0,13,000E,FF00,Octorok,,-804,-1140,-2302,0000,6AAB,0000
2,0,13,000E,FF00,Octorok,,-1058,-1140,-2579,0000,505B,0000
3,0,7,000E,FF00,Octorok,,1065,188,-2841,0000,0000,0000
3,0,8,000E,FF00,Octorok,,-1330,188,-2479,0000,3333,0000
62,0,5,000E,FF00,Octorok,,31,-133,820,0000,0000,0000
84,0,0,000E,FF00,Octorok,,-133,60,-53,0000,AAAB,0000
84,0,0,000E,FF00,Octorok,,2928,500,-557,0000,A000,0000
84,2,0,000E,FF00,Octorok,,1224,180,-606,0000,0000,0000
84,2,0,000E,FF00,Octorok,,1544,300,-421,0000,0000,0000
84,2,0,000E,FF00,Octorok,,-642,60,-33,0000,AAAB,0000
84,2,0,000E,FF00,Octorok,,2928,500,-557,0000,A000,0000
84,2,0,000E,FF00,Octorok,,-1106,60,9,0000,0000,0000
84,2,0,000E,FF00,Octorok,,-122,180,-1252,0000,0000,0000
84,2,0,000E,FF00,Octorok,,330,180,-1108,0000,C000,0000
84,2,0,000E,FF00,Octorok,,1140,180,-1176,0000,1555,0000
85,2,0,000E,FF00,Octorok,,383,-12,-315,0000,0000,0000
85,2,0,000E,FF00,Octorok,,968,-12,72,0000,0000,0000
87,0,0,000E,FF00,Octorok,,-3605,-1313,4500,0000,8000,0000
87,0,0,000E,FF00,Octorok,,-2638,-1313,6629,0000,638E,0000
87,0,0,000E,FF00,Octorok,,-1646,-1313,6669,0000,E4FA,0000
89,2,0,000E,FF00,Octorok,,-473,20,-441,0000,2000,0000
89,2,0,000E,FF00,Octorok,,294,20,-895,0000,0000,0000
89,2,0,000E,FF00,Octorok,,392,20,339,0000,0000,0000
89,2,0,000E,FF00,Octorok,,912,20,-395,0000,0000,0000
89,5,0,000E,0000,Octorok,,-441,-248,594,0000,0000,0000
89,5,0,000E,0000,Octorok,,1313,-319,-251,0000,2000,0000
89,6,0,000E,FF00,Octorok,,-441,-248,594,0000,0000,0000
89,6,0,000E,FF00,Octorok,,1313,-319,-251,0000,2000,0000
90,2,0,000E,FF00,Octorok,,-169,-2800,797,0000,0000,0000
90,2,0,000E,FF00,Octorok,,-70,-2200,-1436,0000,0000,0000
90,2,0,000E,FF00,Octorok,,-59,-2800,1603,0000,0000,0000
90,2,0,000E,FF00,Octorok,,-48,-2200,-498,0000,0000,0000
90,2,0,000E,FF00,Octorok,,-37,-2200,-1072,0000,0000,0000
91,0,3,000E,FF00,Octorok,,2114,-20,-847,0000,C000,0000
91,2,3,000E,FF00,Octorok,,2114,-20,-847,0000,C000,0000
Total: 48
