Scene,Setup,Room
52,0,0,01C6,0000,Cow,,-83,0,-78,0000,F49F,0000
54,0,0,01C6,0000,Cow,,-122,0,-254,0000,0000,0000
54,0,0,01C6,0000,Cow,,-3,0,-254,0000,0000,0000
55,0,0,01C6,0000,Cow,,140,0,-255,0000,0000,0000
62,0,3,01C6,0000,Cow,,2444,9,-471,0000,0000,0000
62,0,4,01C6,0000,Cow,,3485,-4,-291,0000,D777,0000
76,0,0,01C6,0000,Cow,,-142,0,-140,0000,4000,0000
76,0,0,01C6,0000,Cow,,-108,0,-65,0000,5D28,0000
90,0,0,01C6,0000,Cow,,-449,-2051,28,0000,8000,0000
99,9,0,01C6,0000,Cow,,-147,0,-191,0000,6444,0000
99,9,0,01C6,0000,Cow,,-427,0,-19,0000,ECCD,0000
Total: 11
