Scene,Setup,Room
13,0,1,0097,0005,Environmental Effects,,0,-240,-840,0000,0000,0000
83,0,1,0097,0004,Environmental Effects,,685,180,33,0000,C000,0000
83,1,1,0097,0004,Environmental Effects,,688,180,35,0000,C000,0000
83,2,1,0097,0004,Environmental Effects,,685,180,32,0000,C000,0000
83,3,1,0097,0004,Environmental Effects,,685,180,32,0000,C000,0000
83,4,1,0097,0004,Environmental Effects,,851,180,49,0000,0000,0000
83,5,1,0097,0002,Environmental Effects,,854,321,94,0000,0000,0000
83,5,1,0097,0004,Environmental Effects,,851,180,49,0000,0000,0000
84,2,0,0097,0003,Environmental Effects,,4198,-87,-1397,0000,0000,0000
84,2,1,0097,0003,Environmental Effects,,4198,-87,-1397,0000,0000,0000
85,0,0,0097,0000,Environmental Effects,,355,1,-150,0000,0000,0000
85,2,0,0097,0000,Environmental Effects,,355,1,-150,0000,0000,0000
85,3,0,0097,0000,Environmental Effects,,355,1,-150,0000,0000,0000
85,7,0,0097,0000,Environmental Effects,,355,1,-150,0000,0000,0000
85,11,0,0097,0000,Environmental Effects,,-29,1,216,0000,0000,0000
85,0,1,0097,0000,Environmental Effects,,3409,-143,-818,0000,0000,0000
85,2,1,0097,0000,Environmental Effects,,3409,-143,-818,0000,0000,0000
85,3,1,0097,0000,Environmental Effects,,3409,-143,-818,0000,0000,0000
85,4,1,0097,0000,Environmental Effects,,3057,-79,-754,0000,0000,0000
85,5,1,0097,0000,Environmental Effects,,-239,120,597,0000,0000,0000
85,5,1,0097,0000,Environmental Effects,,3806,-179,-252,0000,0000,0000
85,6,1,0097,0000,Environmental Effects,,378,0,483,0000,0000,0000
85,6,1,0097,0000,Environmental Effects,,3580,-164,-365,0000,0000,0000
85,7,1,0097,0000,Environmental Effects,,3409,-143,-818,0000,0000,0000
85,8,1,0097,0000,Environmental Effects,,-29,1,216,0000,0000,0000
85,9,1,0097,0000,Environmental Effects,,-29,1,216,0000,0000,0000
85,10,1,0097,0000,Environmental Effects,,-29,1,216,0000,0000,0000
85,10,1,0097,0000,Environmental Effects,,3554,-173,-856,0000,0000,0000
85,11,1,0097,0000,Environmental Effects,,3554,-173,-856,0000,0000,0000
85,12,1,0097,0000,Environmental Effects,,-29,1,216,0000,0000,0000
85,12,1,0097,0000,Environmental Effects,,3554,-173,-856,0000,0000,0000
85,13,1,0097,0000,Environmental Effects,,-29,1,216,0000,0000,0000
85,13,1,0097,0000,Environmental Effects,,3554,-173,-856,0000,0000,0000
86,0,0,0097,0000,Environmental Effects,,-188,0,1919,0000,0000,0000
86,2,0,0097,0000,Environmental Effects,,-188,0,1919,0000,0000,0000
86,4,0,0097,0000,Environmental Effects,,-16,480,-2768,0000,0000,0000
86,5,0,0097,0000,Environmental Effects,,-16,480,-2768,0000,0000,0000
88,2,0,0097,0003,Environmental Effects,,624,857,-1555,0000,0000,0000
88,2,1,0097,0003,Environmental Effects,,-375,0,-261,0000,0000,0000
89,2,0,0097,0003,Environmental Effects,,-714,20,1464,0000,0000,0000
91,0,0,0097,0000,Environmental Effects,,52,0,-52,0000,0000,0000
91,2,0,0097,0000,Environmental Effects,,52,0,-52,0000,0000,0000
91,0,2,0097,0000,Environmental Effects,,798,0,-897,0000,0000,0000
91,2,2,0097,0000,Environmental Effects,,798,0,-897,0000,0000,0000
91,0,3,0097,0000,Environmental Effects,,1735,0,-792,0000,0000,0000
91,2,3,0097,0000,Environmental Effects,,1735,0,-792,0000,0000,0000
91,0,4,0097,0000,Environmental Effects,,1588,0,-1581,0000,0000,0000
91,2,4,0097,0000,Environmental Effects,,1588,0,-1581,0000,0000,0000
91,0,5,0097,0000,Environmental Effects,,-1191,-220,1626,0000,0000,0000
91,2,5,0097,0000,Environmental Effects,,-1191,-220,1626,0000,0000,0000
91,4,5,0097,0000,Environmental Effects,,-1191,-220,1626,0000,0000,0000
91,0,6,0097,0000,Environmental Effects,,509,-20,-1568,0000,0000,0000
91,0,8,0097,0000,Environmental Effects,,794,0,-2379,0000,0000,0000
91,2,8,0097,0000,Environmental Effects,,815,0,-2368,0000,0000,0000
Total: 54
