Scene,Setup,Room
6,0,0,00C3,0406,Nabooru,,-494,-50,-1,0000,4000,0000
13,0,19,00C3,0002,Nabooru,,-1531,300,1812,2000,6AAB,0000
23,0,1,00C3,0004,Nabooru,,-1212,16,1210,0000,E000,0000
23,4,1,00C3,0004,Nabooru,,-1212,16,1210,0000,E000,0000
23,5,1,00C3,0004,Nabooru,,-1212,16,1210,0000,E000,0000
23,6,1,00C3,0004,Nabooru,,-1212,16,1210,0000,E000,0000
68,0,0,00C3,0000,Nabooru,,94,6,165,0000,9555,0000
68,6,0,00C3,0002,Nabooru,,94,6,165,0000,9555,0000
92,5,0,00C3,0003,Nabooru,,-893,-30,52,0000,0000,0000
96,8,0,00C3,0005,Nabooru,,-1730,687,-483,0000,0000,0000
Total: 10
