Scene,Setup,Room
6,0,4,0150,2300,Sun Emblem Switch,,-921,480,-889,C000,C000,0000
6,0,8,0150,2421,Sun Emblem Switch,,-1327,843,-140,0000,0000,0000
6,0,15,0150,0F20,Sun Emblem Switch,,1109,530,-586,0000,8000,0000
6,0,15,0150,2030,Sun Emblem Switch,,1355,530,-844,0000,C000,0000
6,0,15,0150,3430,Sun Emblem Switch,,1353,530,-682,0000,C000,0000
6,0,15,0150,3630,Sun Emblem Switch,,945,530,-588,0000,8000,0000
6,0,18,0150,1600,Sun Emblem Switch,,2045,992,-382,0000,0000,0000
6,0,25,0150,1700,Sun Emblem Switch,,-174,1732,-1035,0000,4000,0000
6,0,26,0150,2D30,Sun Emblem Switch,,-559,1937,-659,0000,8000,0000
13,0,18,0150,1900,Sun Emblem Switch,,-1229,310,1001,0000,0AAB,0000
13,0,18,0150,3B30,Sun Emblem Switch,,-1115,310,1400,0000,8E39,0000
13,0,18,0150,3C30,Sun Emblem Switch,,-982,310,1141,0000,CAAB,0000
13,0,18,0150,3D30,Sun Emblem Switch,,-1377,310,1250,0000,47D2,0000
Total: 13
