Scene,Setup,Room
4,0,5,0130,0F04,???,,1559,2800,-828,0000,3F4A,0000
4,0,5,0130,0F05,???,,1691,2800,-568,0000,1F4A,0000
4,0,5,0130,0F06,???,,1751,2800,1124,0000,3F4A,0000
4,0,5,0130,0F07,???,,1900,2800,-992,0000,8000,0000
4,0,5,0130,0F08,???,,2175,2800,-341,0000,0000,0000
4,0,5,0130,0F09,???,,2290,2800,211,0000,4000,0000
4,0,10,0130,0F00,???,,-2088,2800,1109,0000,0000,0000
4,0,10,0130,0F02,???,,-1440,2800,-262,0000,0000,0000
4,0,10,0130,0F03,???,,-1191,2800,-791,0000,0000,0000
4,0,13,0130,0F01,???,,-1794,4400,-422,0000,0000,0000
5,0,12,0130,0003,???,,417,120,-2872,0000,0000,0001
5,0,12,0130,0004,???,,-1120,300,-2239,0000,4000,0001
11,0,2,0130,0000,???,,-1221,519,-2061,0000,0000,0001
11,0,2,0130,0001,???,,-1945,433,-2063,0000,0000,0001
13,0,8,0130,0C00,???,,-2694,-270,-1010,0000,51C7,0000
13,0,8,0130,0C01,???,,-2600,-270,-665,0000,D1C7,0000
85,0,2,0130,0C02,???,,-245,120,1870,0000,8000,0001
90,2,0,0130,0C02,???,,314,-1015,-2804,0000,0000,0001
96,2,0,0130,0D01,???,,-1444,1506,-1627,0000,F8E4,0001
96,2,0,0130,0C02,???,,-1145,2177,-370,0000,071C,0001
Total: 20
