Scene,Setup,Room
2,0,0,002D,FFFF,Shaboom,,17,-241,-993,0000,0000,0000
2,0,0,002D,FFFF,Shaboom,,-28,-257,-900,0000,0000,0000
2,4,0,002D,FFFF,Shaboom,,-129,-340,-157,0000,0000,0000
2,4,0,002D,FFFF,Shaboom,,93,-330,-268,0000,0000,0000
2,4,0,002D,FFFF,Shaboom,,-73,-340,-398,0000,0000,0000
2,0,12,002D,FFFF,Shaboom,,-776,-340,-5894,0000,0000,0000
2,0,12,002D,FFFF,Shaboom,,-560,-340,-5746,0000,0000,0000
2,0,12,002D,FFFF,Shaboom,,-552,-340,-5606,0000,0000,0000
2,0,12,002D,FFFF,Shaboom,,-749,-47,-5771,0000,0000,0000
2,0,12,002D,FFFF,Shaboom,,-744,-83,-5579,0000,0000,0000
2,0,12,002D,FFFF,Shaboom,,-643,-340,-5552,0000,0000,0000
2,0,12,002D,FFFF,Shaboom,,-445,-138,-5823,0000,0000,0000
2,0,12,002D,FFFF,Shaboom,,-786,-340,-5667,0000,0000,0000
2,0,12,002D,FFFF,Shaboom,,-852,-340,-5480,0000,0000,0000
2,0,14,002D,FFFF,Shaboom,,668,-1085,-3239,0000,0000,0000
2,0,14,002D,FFFF,Shaboom,,770,-1099,-3203,0000,0000,0000
2,0,14,002D,FFFF,Shaboom,,1092,-1176,-1770,0000,0000,0000
2,0,14,002D,FFFF,Shaboom,,1048,-1185,-1619,0000,0000,0000
2,0,14,002D,FFFF,Shaboom,,882,-1105,-3171,0000,0000,0000
2,0,14,002D,FFFF,Shaboom,,999,-1105,-3192,0000,0000,0000
2,0,14,002D,FFFF,Shaboom,,889,-1185,-1552,0000,0000,0000
Total: 21
