Scene,Setup,Room
28,0,0,019B,0D00,Dog,,-12,0,2428,0000,D8E4,0000
31,0,0,019B,0A01,Dog,,-533,0,871,0000,BBBC,0000
31,0,0,019B,0B10,Dog,,-224,0,1318,0000,B555,0000
31,0,0,019B,0C21,Dog,,143,0,1233,0000,16C1,0000
32,0,0,019B,0030,Dog,,206,0,-193,0000,999A,0000
33,0,0,019B,0201,Dog,,87,0,116,0000,E000,0000
33,0,0,019B,0311,Dog,,-125,0,159,0000,C5B0,0000
33,0,0,019B,0421,Dog,,315,0,297,0000,EB61,0000
33,0,0,019B,0531,Dog,,-131,0,421,0000,A93F,0000
33,0,0,019B,0741,Dog,,257,0,-268,0000,D49F,0000
33,0,0,019B,0050,Dog,,423,0,421,0000,1555,0000
33,0,0,019B,0160,Dog,,-199,0,-257,0000,A71C,0000
36,0,0,019B,0801,Dog,,835,60,-700,0000,3111,0000
36,0,0,019B,0910,Dog,,917,60,-1271,0000,DF4A,0000
Total: 14
