Scene,Setup,Room
9,0,1,0121,FFFF,Freezard,,-211,-10,997,0000,2000,0000
9,0,1,0121,0000,Freezard,,-111,-10,1277,0000,0000,0000
9,0,1,0121,0000,Freezard,,0,-10,1078,0000,0000,0000
9,0,1,0121,0000,Freezard,,138,-10,1260,0000,EC17,0000
9,0,6,0121,0000,Freezard,,-1513,246,560,0000,8000,0000
9,0,6,0121,0000,Freezard,,-1508,209,358,0000,6444,0000
9,0,8,0121,0000,Freezard,,1103,172,-1216,0000,0000,0000
9,0,9,0121,FFFF,Freezard,,577,22,-2212,0000,0000,0000
9,0,9,0121,0000,Freezard,,405,213,-2221,0000,7333,0000
9,0,9,0121,0000,Freezard,,993,162,-2216,0000,C5B0,0000
13,0,2,0121,FFFF,Freezard,,1891,-250,-1001,0000,E000,0000
13,0,2,0121,FFFF,Freezard,,1882,-250,-602,0000,A000,0000
Total: 12
