Scene,Setup,Room
7,0,1,0090,7F02,Redead,Crouching,-796,-63,-937,0000,0000,0000
7,0,7,0090,7FFE,Gibdo,Standing,3498,-543,721,0000,8000,0000
7,0,7,0090,7FFE,Gibdo,Standing,3212,-543,726,0000,8000,0000
7,0,11,0090,0102,Redead,Crouching,2839,-1343,1217,0000,EAAB,0000
7,0,11,0090,0102,Redead,Crouching,2121,-1343,1183,0000,1555,0000
7,0,13,0090,7F02,Redead,Crouching,-4638,-1363,-2560,0000,0000,0000
7,0,13,0090,7F02,Redead,Crouching,-3973,-1363,-2570,0000,0000,0000
7,0,19,0090,7F02,Redead,Crouching,4924,-1363,-273,0000,0000,0000
7,0,19,0090,7F02,Redead,Crouching,4931,-1363,25,0000,8000,0000
7,0,20,0090,7FFE,Gibdo,Standing,4253,-1363,-1070,0000,1555,0000
7,0,20,0090,7FFE,Gibdo,Standing,4527,-1363,-1081,0000,EAAB,0000
8,0,1,0090,7F02,Redead,Crouching,-498,-720,-527,0000,A000,0000
8,0,1,0090,7F02,Redead,Crouching,565,-720,251,0000,8000,0000
8,0,2,0090,7FFE,Gibdo,Standing,-2070,0,-854,0000,0000,0000
15,0,0,0090,7F01,Redead,Standing,942,220,-912,0000,0000,0000
34,0,0,0090,8100,Redead,Standing,425,0,203,0000,B05B,0000
34,0,0,0090,8100,Redead,Standing,200,0,316,0000,AAAB,0000
34,0,0,0090,8100,Redead,Standing,-199,0,268,0000,549F,0000
34,0,0,0090,8102,Redead,Crouching,-239,0,505,0000,4889,0000
34,0,0,0090,8100,Redead,Standing,247,0,-460,0000,ED83,0000
34,0,0,0090,8102,Redead,Crouching,-283,0,-154,0000,27D2,0000
34,0,0,0090,8102,Redead,Crouching,223,0,17,0000,C38E,0000
34,0,0,0090,8100,Redead,Standing,-170,0,-425,0000,1333,0000
62,0,2,0090,7F02,Redead,Crouching,1693,1,-437,0000,0FA5,0000
62,0,2,0090,7F01,Redead,Standing,1930,1,-445,0000,E222,0000
63,0,0,0090,7F02,Redead,Crouching,2,-20,-250,0000,0000,0000
65,0,1,0090,7F00,Redead,Standing,130,0,177,0000,C000,0000
65,0,1,0090,7F00,Redead,Standing,215,0,446,0000,0000,0000
65,0,1,0090,7F00,Redead,Standing,-196,0,428,0000,4000,0000
72,0,2,0090,7F02,Redead,Crouching,2552,-730,-4424,0000,8000,0000
72,0,2,0090,7F02,Redead,Crouching,1248,-730,-5748,0000,4000,0000
72,0,3,0090,7F02,Redead,Crouching,2730,-730,-3396,0000,A000,0000
72,0,3,0090,7F02,Redead,Crouching,1252,-668,-3117,0000,4000,0000
Total: 33
