Scene,Setup,Room
3,0,19,0011,0001,Ceiling Wall Master,,-1763,1467,-3318,0000,0000,0000
3,0,20,0011,0001,Ceiling Wall Master,,1998,1472,-3326,0000,C0B6,0000
6,0,2,0011,0001,Ceiling Wall Master,,-552,30,-1434,0000,0000,0000
6,0,15,0011,3602,Ceiling Wall Master,,832,734,-713,0000,C000,FF4A
7,0,9,0011,0001,Ceiling Wall Master,,3778,-386,1609,0000,8000,0000
8,0,0,0011,0001,Ceiling Wall Master,,-2,0,-742,0000,0000,0000
11,0,2,0011,1102,Ceiling Wall Master,,-2345,193,-1439,0000,4000,0000
11,0,2,0011,0001,Ceiling Wall Master,,-1589,-80,-1329,0000,0000,0000
13,0,3,0011,2D02,Ceiling Wall Master,,3405,690,-2166,0000,0000,0000
13,0,8,0011,2E02,Ceiling Wall Master,,-2668,320,-1464,0000,0000,0000
13,0,10,0011,0001,Ceiling Wall Master,,-3192,-240,-840,0000,4000,0000
13,0,18,0011,3B02,Ceiling Wall Master,,-1303,150,1126,0000,0000,0000
13,0,18,0011,3C02,Ceiling Wall Master,,-1075,150,1269,0000,0000,0000
13,0,18,0011,3D02,Ceiling Wall Master,,-1119,150,1097,0000,0000,0000
Total: 14
