Scene,Setup,Room
83,0,1,009D,0000,Grave,,-458,120,-336,0000,0000,0000
83,0,1,009D,0000,Grave,,-348,60,59,0000,C000,0000
83,0,1,009D,0000,Grave,,-348,60,299,0000,C000,0000
83,0,1,009D,0000,Grave,,-348,60,419,0000,C000,0000
83,0,1,009D,0000,Grave,,-348,60,539,0000,C000,0000
83,0,1,009D,0000,Grave,,-338,120,-336,0000,0000,0000
83,0,1,009D,0000,Grave,,-218,120,-336,0000,0000,0000
83,0,1,009D,0000,Grave,,-98,120,-336,0000,0000,0000
83,0,1,009D,0000,Grave,,22,120,-336,0000,0000,0000
83,0,1,009D,0000,Grave,,155,120,-177,0000,C000,0000
83,0,1,009D,0000,Grave,,155,120,-57,0000,C000,0000
83,0,1,009D,0000,Grave,,155,120,219,0000,C000,0000
83,0,1,009D,0000,Grave,,155,120,459,0000,C000,0000
83,0,1,009D,0000,Grave,,155,120,579,0000,C000,0000
83,0,1,009D,0000,Grave,,155,120,699,0000,C000,0000
83,0,1,009D,0001,Grave,Discovery Sound,-348,60,179,0000,C000,0000
83,0,1,009D,0001,Grave,Discovery Sound,155,120,339,0000,C000,0000
83,1,1,009D,0000,Grave,,-458,120,-336,0000,0000,0000
83,1,1,009D,0000,Grave,,-348,60,59,0000,C000,0000
83,1,1,009D,0000,Grave,,-348,60,299,0000,C000,0000
83,1,1,009D,0000,Grave,,-348,60,419,0000,C000,0000
83,1,1,009D,0000,Grave,,-348,60,539,0000,C000,0000
83,1,1,009D,0000,Grave,,-338,120,-336,0000,0000,0000
83,1,1,009D,0000,Grave,,-218,120,-336,0000,0000,0000
83,1,1,009D,0000,Grave,,-98,120,-336,0000,0000,0000
83,1,1,009D,0000,Grave,,22,120,-336,0000,0000,0000
83,1,1,009D,0000,Grave,,155,120,-177,0000,C000,0000
83,1,1,009D,0000,Grave,,155,120,-57,0000,C000,0000
83,1,1,009D,0000,Grave,,155,120,219,0000,C000,0000
83,1,1,009D,0000,Grave,,155,120,459,0000,C000,0000
83,1,1,009D,0000,Grave,,155,120,579,0000,C000,0000
83,1,1,009D,0000,Grave,,155,120,699,0000,C000,0000
83,1,1,009D,0001,Grave,Discovery Sound,-348,60,179,0000,C000,0000
83,1,1,009D,0001,Grave,Discovery Sound,155,120,339,0000,C000,0000
83,2,1,009D,0000,Grave,,-458,120,-336,0000,0000,0000
83,2,1,009D,0000,Grave,,-348,60,59,0000,C000,0000
83,2,1,009D,0000,Grave,,-348,60,299,0000,C000,0000
